Fecha	Temperatura
01/01/2012	13.6
02/01/2012	13.6
03/01/2012	13.3
04/01/2012	13.6
05/01/2012	13.7
06/01/2012	13.9
07/01/2012	14.1
08/01/2012	14.0
09/01/2012	13.8
10/01/2012	13.4
11/01/2012	13.3
12/01/2012	13.5
13/01/2012	13.2
14/01/2012	13.3
15/01/2012	13.5
16/01/2012	13.3
17/01/2012	13.1
18/01/2012	13.0
19/01/2012	13.1
20/01/2012	13.3
21/01/2012	13.6
22/01/2012	13.5
23/01/2012	13.5
24/01/2012	13.3
25/01/2012	13.4
26/01/2012	13.2
27/01/2012	12.9
28/01/2012	13.0
29/01/2012	12.7
30/01/2012	12.6
31/01/2012	12.5
01/02/2012	12.2
02/02/2012	12.2
03/02/2012	12.0
04/02/2012	11.7
05/02/2012	11.8
06/02/2012	11.8
07/02/2012	12.2
08/02/2012	12.0
09/02/2012	11.6
10/02/2012	11.2
11/02/2012	11.1
12/02/2012	11.1
13/02/2012	11.7
14/02/2012	11.5
15/02/2012	11.8
16/02/2012	11.6
17/02/2012	12.0
18/02/2012	11.8
19/02/2012	11.9
20/02/2012	11.5
21/02/2012	11.6
22/02/2012	11.6
23/02/2012	11.7
24/02/2012	11.7
25/02/2012	12.0
26/02/2012	12.4
27/02/2012	12.5
28/02/2012	12.3
29/02/2012	12.3
01/03/2012	12.4
02/03/2012	12.5
03/03/2012	12.6
04/03/2012	12.8
05/03/2012	12.5
06/03/2012	12.6
07/03/2012	12.4
08/03/2012	12.5
09/03/2012	12.5
10/03/2012	12.7
11/03/2012	12.6
12/03/2012	13.0
13/03/2012	13.1
14/03/2012	13.2
15/03/2012	13.0
16/03/2012	13.0
17/03/2012	13.0
18/03/2012	12.7
19/03/2012	12.4
20/03/2012	12.4
21/03/2012	12.6
22/03/2012	12.5
23/03/2012	12.6
24/03/2012	13.2
25/03/2012	13.2
26/03/2012	13.7
27/03/2012	13.4
28/03/2012	13.3
29/03/2012	13.2
30/03/2012	13.2
31/03/2012	14.0
01/04/2012	14.1
02/04/2012	14.1
03/04/2012	14.1
04/04/2012	13.5
05/04/2012	13.9
06/04/2012	13.4
07/04/2012	13.3
08/04/2012	13.2
09/04/2012	13.5
10/04/2012	14.1
11/04/2012	13.4
12/04/2012	13.5
13/04/2012	13.6
14/04/2012	13.4
15/04/2012	13.0
16/04/2012	12.6
17/04/2012	13.0
18/04/2012	12.7
19/04/2012	12.8
20/04/2012	13.0
21/04/2012	13.3
22/04/2012	13.2
23/04/2012	13.3
24/04/2012	12.9
25/04/2012	13.1
26/04/2012	13.2
27/04/2012	13.3
28/04/2012	13.3
29/04/2012	12.9
30/04/2012	13.1
01/05/2012	13.3
02/05/2012	13.4
03/05/2012	13.8
04/05/2012	14.0
05/05/2012	14.5
06/05/2012	14.6
07/05/2012	15.1
08/05/2012	15.0
09/05/2012	15.3
10/05/2012	15.2
11/05/2012	15.7
12/05/2012	15.4
13/05/2012	14.2
14/05/2012	14.0
15/05/2012	14.3
16/05/2012	14.7
17/05/2012	13.9
18/05/2012	14.0
19/05/2012	14.0
20/05/2012	13.9
21/05/2012	13.7
22/05/2012	13.7
23/05/2012	13.9
24/05/2012	14.2
25/05/2012	14.4
26/05/2012	14.7
27/05/2012	15.2
28/05/2012	15.5
29/05/2012	15.2
30/05/2012	15.4
31/05/2012	15.8
01/06/2012	15.2
02/06/2012	14.7
03/06/2012	15.2
04/06/2012	16.0
05/06/2012	16.1
06/06/2012	17.2
07/06/2012	16.8
08/06/2012	16.8
09/06/2012	17.1
10/06/2012	17.2
11/06/2012	17.3
12/06/2012	17.4
13/06/2012	17.3
14/06/2012	17.2
15/06/2012	18.0
16/06/2012	17.8
17/06/2012	17.7
18/06/2012	17.7
19/06/2012	17.1
20/06/2012	17.2
21/06/2012	17.7
22/06/2012	17.3
23/06/2012	17.8
24/06/2012	17.9
25/06/2012	18.4
26/06/2012	18.6
27/06/2012	17.6
28/06/2012	17.7
29/06/2012	18.2
30/06/2012	18.2
01/07/2012	18.0
02/07/2012	21.7
03/07/2012	18.3
04/07/2012	19.1
05/07/2012	19.2
06/07/2012	19.5
07/07/2012	19.2
08/07/2012	19.5
09/07/2012	19.6
10/07/2012	19.5
11/07/2012	19.5
12/07/2012	19.2
13/07/2012	19.5
14/07/2012	19.9
15/07/2012	19.9
16/07/2012	19.7
17/07/2012	19.6
18/07/2012	18.6
19/07/2012	19.3
20/07/2012	20.0
21/07/2012	19.4
22/07/2012	19.6
23/07/2012	19.3
24/07/2012	18.8
25/07/2012	19.0
26/07/2012	19.8
27/07/2012	20.7
28/07/2012	21.3
29/07/2012	20.8
30/07/2012	20.9
31/07/2012	21.2
01/08/2012	20.9
02/08/2012	20.9
03/08/2012	21.0
04/08/2012	21.2
05/08/2012	20.8
06/08/2012	20.4
07/08/2012	20.9
08/08/2012	21.2
09/08/2012	20.9
10/08/2012	21.4
11/08/2012	22.0
12/08/2012	22.4
13/08/2012	22.4
14/08/2012	22.4
15/08/2012	21.4
16/08/2012	21.4
17/08/2012	20.9
18/08/2012	22.5
19/08/2012	22.7
20/08/2012	23.1
21/08/2012	23.0
22/08/2012	22.5
23/08/2012	20.6
24/08/2012	20.7
25/08/2012	20.7
26/08/2012	20.8
27/08/2012	21.5
28/08/2012	21.6
29/08/2012	22.0
30/08/2012	21.6
31/08/2012	21.4
01/09/2012	21.2
02/09/2012	21.1
03/09/2012	21.4
04/09/2012	21.2
05/09/2012	21.0
06/09/2012	21.0
07/09/2012	20.2
08/09/2012	20.0
09/09/2012	20.8
10/09/2012	20.6
11/09/2012	20.2
12/09/2012	21.1
13/09/2012	20.7
14/09/2012	20.9
15/09/2012	21.0
16/09/2012	19.6
17/09/2012	19.2
18/09/2012	19.5
19/09/2012	19.5
20/09/2012	17.6
21/09/2012	15.7
22/09/2012	17.1
23/09/2012	16.8
24/09/2012	16.8
25/09/2012	17.7
26/09/2012	18.3
